p_noise,score,label,round
0.1015625,-0.005645753090192329,-1,76
0.09765625,0.02290818042417686,1,76
0.099609375,0.008551054991424278,1,76
0.1005859375,0.0014327009501611254,1,76
0.10107421875,-0.0021115023942404054,-1,76
0.100830078125,-0.00034064619862617107,-1,76
0.1007080078125,0.0005457158320523181,1,76
0.10076904296875,0.00010245695261112964,1,76
0.100799560546875,-0.00011911408630504994,-1,76
0.1007843017578125,-8.333433012319702e-06,-1,76
0.10077667236328125,4.7060543215238226e-05,1,76
0.10078048706054688,1.936325096130176e-05,1,76
0.10078239440917969,5.514832939867986e-06,1,76
0.1007833480834961,-1.4093190447983517e-06,-1,76
0.10078287124633789,2.0527521955582273e-06,1,76
0.0,1.0189689553352028,1,80
0.5,-1.0439483394963789,-1,80
0.25,-0.6291376195876,-1,80
0.125,-0.07810485943878476,-1,80
0.0625,0.3807918550503555,1,80
0.09375,0.13197376775261072,1,80
0.109375,0.022437637770883256,1,80
0.1171875,-0.028916644865767838,-1,80
0.11328125,-0.003515319913644399,-1,80
0.111328125,0.009391564939836838,1,80
0.1123046875,0.002920804347498418,1,80
0.11279296875,-0.000301577313230883,-1,80
0.112548828125,0.0013085323845354324,1,80
0.1126708984375,0.0005032074088446858,1,80
0.11273193359375,0.00010074753564048855,1,80
0.112762451171875,-0.00010043176439533674,-1,80
0.1127471923828125,1.5366641692438066e-07,1,80
0.11275482177734375,-5.0140103752260856e-05,-1,80
0.11275100708007812,-2.4993482362623e-05,-1,80
0.11274909973144531,-1.2419973897559444e-05,-1,80
0.1127481460571289,-6.133170221023221e-06,-1,80
0.1127476692199707,-2.989756022309109e-06,-1,80
0.0,0.9661152233469357,1,84
0.5,-1.0400125633105093,-1,84
0.25,-0.6157060472821515,-1,84
0.125,-0.07572591480730839,-1,84
0.0625,0.3638855577530522,1,84
0.09375,0.12637252453161474,1,84
0.109375,0.021196047931229645,1,84
0.1171875,-0.028260950394352724,-1,84
0.11328125,-0.0037858584064172085,-1,84
0.111328125,0.008641186382713384,1,84
0.1123046875,0.0024117567459385203,1,84
0.11279296875,-0.0006910189337114847,-1,84
0.112548828125,0.0008593757929529211,1,84
0.1126708984375,8.39302873107961e-05,1,84
0.11273193359375,-0.00030360634178672186,-1,84
0.112701416015625,-0.00010985353400805309,-1,84
0.1126861572265625,-1.2965500307160482e-05,-1,84
0.11267852783203125,3.5481424228933633e-05,1,84
0.11268234252929688,1.12577196464958e-05,1,84
0.11268424987792969,-8.53950907986345e-07,-1,84
