p_noise,score,entropy,label,round
0.47887420654296875,1.4509082979285992e-05,2.785073250844294,1,40
0.4788780212402344,5.48995630755833e-06,2.7850763544977877,1,40
0.4788799285888672,9.803929719165438e-07,2.785077906315792,1,40
0.4788808822631836,-1.274388696126394e-06,2.78507868222261,-1,40
0.4788804054260254,-1.4699786232696965e-07,2.7850782942693826,-1,40
0.0,0.9250741770650075,0.11686497280762118,1,44
0.5,-0.23127565254620785,2.2379511429778116,-1,44
0.25,0.3468992622593998,1.4176919984603922,1,44
0.375,0.05781180485659543,1.865896472005482,1,44
0.4375,-0.08673192384480588,2.0607496666489324,-1,44
0.40625,-0.014460059494105781,1.9655895119629565,-1,44
0.390625,0.021675872681244934,1.916319036595794,1,44
0.3984375,0.0036079065935701315,1.9410970105785845,1,44
0.40234375,-0.005426076450267603,1.9533787946846168,-1,44
0.400390625,-0.0009090849283495128,1.9472468044408635,-1,44
0.3994140625,0.0013494108326101983,1.944174135301658,1,44
0.39990234375,0.00022016295213078685,1.945711026525324,1,44
0.400146484375,-0.00034446098810914094,1.9464790546099984,-1,44
0.4000244140625,-6.214901798951011e-05,1.946095075353958,-1,44
0.39996337890625,7.900696707086041e-05,1.945903059636787,1,44
0.399993896484375,8.428974540564127e-06,1.9459990696695875,1,44
0.4000091552734375,-2.686002172436197e-05,1.9460470730553174,-1,44
0.40000152587890625,-9.215523592009944e-06,1.9460230714983395,-1,44
0.3999977111816406,-3.9327452494575255e-07,1.9460110706179359,-1,44
0.3999958038330078,4.017850007143053e-06,1.946005070152254,1,44
0.3999967575073242,1.8122877412096727e-06,1.9460080703872182,1,44
0.3999972343444824,7.095066070217371e-07,1.9460095705031073,1,44
0.0,1.068814534008747,2.3922634836763916,1,48
0.5,-0.04901853653267407,2.8463704939488594,-1,48
0.25,0.5098979987380357,2.662102061091922,1,48
0.375,0.2304397311026809,2.7635095879369778,1,48
0.4375,0.09071059728500375,2.807175540600804,1,48
0.46875,0.020846030376164393,2.82732496547705,1,48
0.484375,-0.014086253078254618,2.8369850333933795,-1,48
0.4765625,0.0033798886489546653,2.8321894030540737,1,48
0.48046875,-0.005353182214650198,2.8345958089428174,-1,48
0.478515625,-0.0009866467828480996,2.8333947549215686,-1,48
0.4775390625,0.001196620933053616,2.832792616376622,1,48
0.47802734375,0.00010498707510331329,2.8330938199764266,1,48
0.478271484375,-0.000440829853871616,2.8332443210283573,-1,48
0.4781494140625,-0.00016792138938459544,2.8331690788975408,-1,48
0.47808837890625,-3.146715714064108e-05,2.8331314515358104,-1,48
0.478057861328125,3.675995898122508e-05,2.8331126362808297,1,48
0.4780731201171875,2.64640092018098e-06,2.8331220440394964,1,48
0.47808074951171875,-1.4410378110119026e-05,2.833126747820448,-1,48
0.4780769348144531,-5.88198859530209e-06,2.83312439593817,-1,48
0.4780750274658203,-1.617793837560555e-06,2.8331232199908833,-1,48
0.4780740737915039,5.143035417543018e-07,2.833122632015703,1,48
0.4780745506286621,-5.517451475700597e-07,2.833122926003421,-1,48
0.0,1.0913226576843242,2.145331398886437,1,52
0.5,-0.04524056505566931,2.801929462519814,-1,52
0.25,0.523041046314328,2.5499647774755205,1,52
0.375,0.23890024062932969,2.6904251169489424,1,52
0.4375,0.09682983778683019,2.74954125052779,1,52
0.46875,0.025794636365580326,2.776553085041813,1,52
0.484375,-0.009722964345044272,2.789443219021524,-1,52
0.4765625,0.008035836010267916,2.783048932077333,1,52
0.48046875,-0.0008435641673878447,2.786258732811413,-1,52
0.478515625,0.0035961359214400357,2.784657001412898,1,52
0.4794921875,0.0013762858770260955,2.785458658768591,1,52
0.47998046875,0.00026636085481879235,2.785858893631256,1,52
0.480224609375,-0.00028860165628441514,2.7860588626725633,-1,52
0.4801025390625,-1.112040073292242e-05,2.7859588905158517,-1,52
0.48004150390625,0.00012762022704371212,2.7859088951646815,1,52
0.480072021484375,5.8249913155172806e-05,2.78593389361303,1,52
0.4800872802734375,2.3564756211236215e-05,2.7859463922576295,1,52
0.48009490966796875,6.222177738823831e-06,2.7859526414350375,1,52
0.4800987243652344,-2.4491114971603167e-06,2.7859557659875183,-1,52
0.48009681701660156,1.8865331210538017e-06,2.785954203714296,1,52
0.48009777069091797,-2.8128918794223523e-07,2.7859549848516627,-1,52
0.48009729385375977,8.026219666668055e-07,2.785954594283168,1,52
0.0,1.0257471298925904,1.3809079646640876,1,56
0.5,-0.16103530445582415,2.6002627631092596,-1,56
